Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Who are more likely to get tapeworm?,Fish eaters,Meat eaters,Pork eaters,Beef eaters,C,Biology,Human Health and Disease,2023
"Among Aedes, Limulus, Pheretima, Ancylostoma, and Antedon, how many possess true coelom, segmentation and closed circulatory system?",One,Two,Three,Four,A,Biology,Animal Kingdom,2023
"Read the following statements and choose the correct answer. A) The amphibians possess eyelids, and the tympanum represents the ear in them B) Animals which possess paired and unpaired fins are included in superclass Pisces:",Both statements A and B are correct,Both statements A and B are incorrect,Only statement A is correct,Only statement B is correct,A,Biology,Animal Kingdom,2023
Select the hormone of the adrenal cortex which is responsible for hyperglycemia.,Aldosterone,Epinephrine,Cortisol,Sex corticoids,C,Biology,Chemical Coordination and Integration,2023
Choose the incorrect match w.r.t. the hormone and its action.,PRL – Acts on the mammary gland,MSH – Acts on melanocytes,ACTH – Acts on the adrenal gland,GnRH – Acts on gonads,D,Biology,Chemical Coordination and Integration,2023
Which of the following is not a feature of mammals?,Hair,Pinna,Diaphragm,Three-chambered heart,D,Biology,Animal Kingdom,2023
Which of the following is not a connective tissue?,Blood,Bone,Cartilage,Muscle,D,Biology,Structural Organisation in Animals,2023
Which of the following is not a function of the liver?,Bile production,Detoxification,Storage of glycogen,Production of insulin,D,Biology,Digestion and Absorption,2023
Which of the following is not a part of the human brain?,Cerebrum,Cerebellum,Medulla oblongata,Spinal cord,D,Biology,Neural Control and Coordination,2023
Which of the following is not a part of the male reproductive system?,Testes,Epididymis,Vas deferens,Ovary,D,Biology,Human Reproduction,2023
Which of the following is not a part of the nephron?,Bowman's capsule,Loop of Henle,Collecting duct,Ureter,D,Biology,Excretory Products and Their Elimination,2023
Which of the following is not a part of the lymphatic system?,Lymph nodes,Spleen,Thymus,Pancreas,D,Biology,Body Fluids and Circulation,2023
Which of the following is not a part of the respiratory system?,Trachea,Bronchi,Alveoli,Esophagus,D,Biology,Breathing and Exchange of Gases,2023
Which of the following is not a part of the endocrine system?,Pituitary gland,Thyroid gland,Adrenal gland,Spleen,D,Biology,Chemical Coordination and Integration,2023
Which of the following is not a part of the female reproductive system?,Ovary,Uterus,Vagina,Prostate gland,D,Biology,Human Reproduction,2023
Which of the following is not a part of the circulatory system?,Heart,Blood vessels,Blood,Lungs,D,Biology,Body Fluids and Circulation,2023
Which of the following is not a part of the digestive system?,Mouth,Esophagus,Stomach,Kidney,D,Biology,Digestion and Absorption,2023
Which of the following is not a part of the nervous system?,Brain,Spinal cord,Nerves,Muscles,D,Biology,Neural Control and Coordination,2023
Which of the following is not a part of the excretory system?,Kidneys,Ureters,Bladder,Liver,D,Biology,Excretory Products and Their Elimination,2023
Which of the following is not a part of the immune system?,Lymph nodes,Spleen,Thymus,Liver,D,Biology,Human Health and Disease,2023
Which of the following is not a part of the skeletal system?,Bones,Cartilage,Ligaments,Muscles,D,Biology,Locomotion and Movement,2023
Which of the following is not a part of the muscular system?,Skeletal muscles,Smooth muscles,Cardiac muscles,Bones,D,Biology,Locomotion and Movement,2023
Which of the following is not a part of the integumentary system?,Skin,Hairs,Nails,Bones,D,Biology,Structural Organisation in Animals,2023
